tr_build_id,tr_job_id,git_commit,count(*)
65540430,65540432,210cb69e34e2540e7d3a1bf6def653c912afe156,27
65540430,65540433,210cb69e34e2540e7d3a1bf6def653c912afe156,27
65540430,65540434,210cb69e34e2540e7d3a1bf6def653c912afe156,27
65540430,65540435,210cb69e34e2540e7d3a1bf6def653c912afe156,27
65540430,65540436,210cb69e34e2540e7d3a1bf6def653c912afe156,27
65540430,65540437,210cb69e34e2540e7d3a1bf6def653c912afe156,27
65540430,65540438,210cb69e34e2540e7d3a1bf6def653c912afe156,27
65540430,65540439,210cb69e34e2540e7d3a1bf6def653c912afe156,27
65540430,65540440,210cb69e34e2540e7d3a1bf6def653c912afe156,27
65540430,65540441,210cb69e34e2540e7d3a1bf6def653c912afe156,27
65540430,65540442,210cb69e34e2540e7d3a1bf6def653c912afe156,27
65540430,65540443,210cb69e34e2540e7d3a1bf6def653c912afe156,27
65540430,65540444,210cb69e34e2540e7d3a1bf6def653c912afe156,27
65540430,65540445,210cb69e34e2540e7d3a1bf6def653c912afe156,27
65540430,65540446,210cb69e34e2540e7d3a1bf6def653c912afe156,27
65540430,65540447,210cb69e34e2540e7d3a1bf6def653c912afe156,27
65540430,65540448,210cb69e34e2540e7d3a1bf6def653c912afe156,27
65540430,65540449,210cb69e34e2540e7d3a1bf6def653c912afe156,27
65540430,65540450,210cb69e34e2540e7d3a1bf6def653c912afe156,27
65540430,65540451,210cb69e34e2540e7d3a1bf6def653c912afe156,27
65540430,65540452,210cb69e34e2540e7d3a1bf6def653c912afe156,27
65540430,65540453,210cb69e34e2540e7d3a1bf6def653c912afe156,27
65540430,65540454,210cb69e34e2540e7d3a1bf6def653c912afe156,27
65540430,65540455,210cb69e34e2540e7d3a1bf6def653c912afe156,27
65540430,65540456,210cb69e34e2540e7d3a1bf6def653c912afe156,27
65540430,65540457,210cb69e34e2540e7d3a1bf6def653c912afe156,27
65540430,65540458,210cb69e34e2540e7d3a1bf6def653c912afe156,27
65540430,65540459,210cb69e34e2540e7d3a1bf6def653c912afe156,27
65540430,65540460,210cb69e34e2540e7d3a1bf6def653c912afe156,27
65540430,65540461,210cb69e34e2540e7d3a1bf6def653c912afe156,27
65540430,65540462,210cb69e34e2540e7d3a1bf6def653c912afe156,27
65543785,65543786,cc849b609e3bac6cf6fc914df790486e9d373643,27
65543785,65543787,cc849b609e3bac6cf6fc914df790486e9d373643,27
65543785,65543788,cc849b609e3bac6cf6fc914df790486e9d373643,27
65543785,65543789,cc849b609e3bac6cf6fc914df790486e9d373643,27
65543785,65543790,cc849b609e3bac6cf6fc914df790486e9d373643,27
65543785,65543791,cc849b609e3bac6cf6fc914df790486e9d373643,27
65543785,65543792,cc849b609e3bac6cf6fc914df790486e9d373643,27
65543785,65543793,cc849b609e3bac6cf6fc914df790486e9d373643,27
65543785,65543794,cc849b609e3bac6cf6fc914df790486e9d373643,27
65543785,65543795,cc849b609e3bac6cf6fc914df790486e9d373643,27
65543785,65543796,cc849b609e3bac6cf6fc914df790486e9d373643,27
65543785,65543797,cc849b609e3bac6cf6fc914df790486e9d373643,27
65543785,65543798,cc849b609e3bac6cf6fc914df790486e9d373643,27
65543785,65543799,cc849b609e3bac6cf6fc914df790486e9d373643,27
65543785,65543800,cc849b609e3bac6cf6fc914df790486e9d373643,27
65543785,65543801,cc849b609e3bac6cf6fc914df790486e9d373643,27
65543785,65543802,cc849b609e3bac6cf6fc914df790486e9d373643,27
65543785,65543803,cc849b609e3bac6cf6fc914df790486e9d373643,27
65543785,65543804,cc849b609e3bac6cf6fc914df790486e9d373643,27
65543785,65543805,cc849b609e3bac6cf6fc914df790486e9d373643,27
65543785,65543806,cc849b609e3bac6cf6fc914df790486e9d373643,27
65543785,65543807,cc849b609e3bac6cf6fc914df790486e9d373643,27
65543785,65543808,cc849b609e3bac6cf6fc914df790486e9d373643,27
65543785,65543809,cc849b609e3bac6cf6fc914df790486e9d373643,27
65543785,65543810,cc849b609e3bac6cf6fc914df790486e9d373643,27
65543785,65543811,cc849b609e3bac6cf6fc914df790486e9d373643,27
65543785,65543812,cc849b609e3bac6cf6fc914df790486e9d373643,27
65543785,65543813,cc849b609e3bac6cf6fc914df790486e9d373643,27
65543785,65543814,cc849b609e3bac6cf6fc914df790486e9d373643,27
65543785,65543815,cc849b609e3bac6cf6fc914df790486e9d373643,27
65543785,65543816,cc849b609e3bac6cf6fc914df790486e9d373643,27
65543785,65543817,cc849b609e3bac6cf6fc914df790486e9d373643,27
65550110,65550111,ac6974091454f4429b42ecc686e27ddbfcba6d58,8
65550110,65550112,ac6974091454f4429b42ecc686e27ddbfcba6d58,8
65550110,65550113,ac6974091454f4429b42ecc686e27ddbfcba6d58,8
65550110,65550114,ac6974091454f4429b42ecc686e27ddbfcba6d58,8
65550110,65550115,ac6974091454f4429b42ecc686e27ddbfcba6d58,8
65550110,65550116,ac6974091454f4429b42ecc686e27ddbfcba6d58,8
65550110,65550117,ac6974091454f4429b42ecc686e27ddbfcba6d58,8
65550110,65550118,ac6974091454f4429b42ecc686e27ddbfcba6d58,8
65550110,65550119,ac6974091454f4429b42ecc686e27ddbfcba6d58,8
65550110,65550120,ac6974091454f4429b42ecc686e27ddbfcba6d58,8
65550110,65550121,ac6974091454f4429b42ecc686e27ddbfcba6d58,8
65550110,65550122,ac6974091454f4429b42ecc686e27ddbfcba6d58,8
65550110,65550123,ac6974091454f4429b42ecc686e27ddbfcba6d58,8
65589639,65589641,20f7e1c78c55d2a16d5033bc2bbe5904d225adb0,64
65589639,65589642,20f7e1c78c55d2a16d5033bc2bbe5904d225adb0,64
65597925,65597926,ea2a9d8d8857be716bb5b5f510a449479280358d,8
65597925,65597927,ea2a9d8d8857be716bb5b5f510a449479280358d,8
65597925,65597928,ea2a9d8d8857be716bb5b5f510a449479280358d,8
65629834,65629836,983b7f907850455e097172ae37d46683876b8490,64
65629834,65629837,983b7f907850455e097172ae37d46683876b8490,64
65629834,65629838,983b7f907850455e097172ae37d46683876b8490,64
65636838,65636839,4fe73823a6ed59b5e5e18341bf548d4e9a973c0c,8
65636838,65636841,4fe73823a6ed59b5e5e18341bf548d4e9a973c0c,8
65636838,65636844,4fe73823a6ed59b5e5e18341bf548d4e9a973c0c,8
65666265,65666266,0d8d38f3701739f2ca2881e55053f3d50dbe7d7b,8
65666265,65666267,0d8d38f3701739f2ca2881e55053f3d50dbe7d7b,8
65666265,65666268,0d8d38f3701739f2ca2881e55053f3d50dbe7d7b,8
65691476,65691477,a95ef5f0d55883414989149ae0b0cc150bc36f78,27
65691476,65691478,a95ef5f0d55883414989149ae0b0cc150bc36f78,27
65691476,65691479,a95ef5f0d55883414989149ae0b0cc150bc36f78,27
65691476,65691480,a95ef5f0d55883414989149ae0b0cc150bc36f78,27
65691476,65691481,a95ef5f0d55883414989149ae0b0cc150bc36f78,27
65691476,65691482,a95ef5f0d55883414989149ae0b0cc150bc36f78,27
65691476,65691483,a95ef5f0d55883414989149ae0b0cc150bc36f78,27
65691476,65691484,a95ef5f0d55883414989149ae0b0cc150bc36f78,27
65691476,65691485,a95ef5f0d55883414989149ae0b0cc150bc36f78,27
65691476,65691486,a95ef5f0d55883414989149ae0b0cc150bc36f78,27
65691476,65691487,a95ef5f0d55883414989149ae0b0cc150bc36f78,27
65691476,65691488,a95ef5f0d55883414989149ae0b0cc150bc36f78,27
65691476,65691489,a95ef5f0d55883414989149ae0b0cc150bc36f78,27
65691476,65691490,a95ef5f0d55883414989149ae0b0cc150bc36f78,27
65691476,65691491,a95ef5f0d55883414989149ae0b0cc150bc36f78,27
65691476,65691492,a95ef5f0d55883414989149ae0b0cc150bc36f78,27
65691476,65691493,a95ef5f0d55883414989149ae0b0cc150bc36f78,27
65691476,65691494,a95ef5f0d55883414989149ae0b0cc150bc36f78,27
65691476,65691495,a95ef5f0d55883414989149ae0b0cc150bc36f78,27
65691476,65691496,a95ef5f0d55883414989149ae0b0cc150bc36f78,27
65691476,65691497,a95ef5f0d55883414989149ae0b0cc150bc36f78,27
